SimRaw.breakIter;gBuf.Soll_IBF.Zeit.t_Halte;gBuf.Ist_IBF.Profilflag;gBuf.Soll_IBF.InitAchse;gBuf.Aus_Onli.Ibf_nominal.Soll_AS_Pos;gBuf.Ein_Puff.form_mess_of.dis_aw;gBuf.Aus_Onli.Ibf_nominal.Soll_RS_Pos;gBuf.Ein_Puff.form_mess_of.dis_hw_dw;gBuf.Ein_Onli.Ibf_actual.Ist_AG;gBuf.Aus_Onli.Ibf_nominal.Soll_ZA_Pos;gBuf.Ein_Onli.Ibf_actual.Ist_ZEN_A;gBuf.Aus_Onli.Ibf_nominal.Soll_ZE_Pos;gBuf.Ein_Onli.Ibf_actual.Ist_ZEN_E;gBuf.Ist_IBF.ZER_Param.delta_ZRA_ZRE;gBuf.Ist_IBF.ZER_Param.ZRA.Pos_y;gBuf.Ist_IBF.ZER_Param.ZRE.Pos_y;gBuf.Ist_IBF.ZER_Param.ZRA.Flag_Kontakt;gBuf.Ist_IBF.ZER_Param.ZRE.Flag_Kontakt;gBuf.Soll_IBF.ZER_Param.ZRA.delta_Ring;gBuf.Soll_IBF.ZER_Param.ZRE.delta_Ring;gBuf.Ist_IBF.DRR_Param.DrR_A.delta_Ring;gBuf.Ist_IBF.DRR_Param.DrR_E.delta_Ring;gBuf.Ist_IBF.DRR_Param.DrR_A.PosXY.x;gBuf.Ist_IBF.DRR_Param.DrR_A.PosXY.y;gBuf.Ist_IBF.DRR_Param.DrR_E.PosXY.x;gBuf.Ist_IBF.DRR_Param.DrR_E.PosXY.y;gBuf.Soll_Inter.DRR_Param.DrR_A.Pos;gBuf.Soll_Inter.DRR_Param.DrR_E.Pos;gBuf.Ist_IBF.Schuessel.Walzform.da;gBuf.Ist_IBF.Schuessel.Walzform.RingGeo.a;gBuf.Ist_IBF.Schuessel.Walzform.RingGeo.b;gBuf.Ist_IBF.Schuessel.Walzform.Kletterhoehe;gBuf.Ist_IBF.Schuessel.Walzform.Kletterwinkel;gBuf.Soll_Inter.hw_n;gBuf.Soll_Inter.kwu_n;gBuf.Soll_Inter.kwo_n;gBuf.Ist_Inter.hw_n;gBuf.Ist_Inter.kwu_n;gBuf.Ist_Inter.kwo_n;gBuf.Aus_Puff.n_omega.n_hw_motor;gBuf.Aus_Puff.n_omega.n_aw_motor_g_o;gBuf.Aus_Puff.n_omega.n_aw_motor_g_u;
0;19,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1559,580078;1846,140015;1559,580078;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;1602,974609;1600,684570;1575,847778;-293,651886;1573,770020;292,299377;342,500000;345,899994;1000,000000;166,666672;166,666672;81,000000;0,000000;0,000000;0,000000;0,000000;0,011783;0,087108;0,035192;0,000000;0,000000;0,000000;
1;18,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1625,337402;1846,140015;1625,337402;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;1286,085083;1283,839722;1588,224243;-299,435089;1586,235840;297,979523;2649,103516;2649,129150;1000,000000;333,333344;333,333344;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
2;17,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;943,247070;940,914673;1577,235718;-286,992401;1575,151611;285,649475;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
3;16,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
4;15,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
5;14,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
6;13,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
7;12,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
8;11,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
9;10,000000;-1;s;273,369995;273,369995;0,000000;469,140015;1515,439941;1680,611084;1846,140015;1680,611084;1846,619995;1672,350098;-970,572327;971,777771;0;0;0,000000;0,000000;614,731079;612,371826;1578,360474;-282,425354;1576,271973;281,086273;1421,715088;1415,382324;1000,000000;500,000000;500,000000;81,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
